"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211,0.9211
"baseline-HL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baseline-RL",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"baseline-SA",0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737
"BR-C5.0",0.4474,0.4474,0.3684,0.4211,0.4474,0.4737,0.4474,0.4211,0.4474,0.4474
"BR+-C5.0",0.4474,0.4737,0.3421,0.4737,0.5,0.4737,0.5,0.5,0.4474,0.4737
"CC-C5.0",0.4737,0.4737,0.3684,0.4474,0.4737,0.5263,0.4737,0.4474,0.3947,0.5
"DBR-C5.0",0.4474,0.4737,0.3421,0.4737,0.5,0.5,0.5,0.4737,0.4211,0.4737
"EBR-C5.0",0.4211,0.3947,0.3158,0.3947,0.3421,0.3684,0.3684,0.3684,0.3684,0.2895
"ECC-C5.0",0.3684,0.3684,0.3158,0.3421,0.3684,0.3158,0.3421,0.2895,0.3684,0.4211
"MBR-C5.0",0.5,0.4737,0.3947,0.3947,0.4737,0.5263,0.4474,0.4474,0.4474,0.4474
"NS-C5.0",0.5263,0.5526,0.4737,0.4211,0.4474,0.4737,0.5,0.4474,0.4737,0.4737
"PruDent-C5.0",0.4474,0.4474,0.3684,0.4211,0.4474,0.4737,0.4474,0.4211,0.4474,0.4474
"RDBR-C5.0",0.4737,0.4737,0.3421,0.4474,0.5,0.5263,0.5,0.4737,0.4211,0.4737
"BR-LR",0.5263,0.5263,0.4474,0.5263,0.4474,0.5,0.5,0.5263,0.3947,0.4737
"BR+-LR",0.4474,0.5,0.4737,0.5526,0.4474,0.4737,0.4474,0.5526,0.4211,0.4737
"CC-LR",0.5526,0.4737,0.4474,0.4737,0.4474,0.5263,0.5,0.5526,0.4474,0.5
"DBR-LR",0.4737,0.5526,0.4211,0.5,0.4474,0.5,0.4737,0.5526,0.4211,0.5263
"EBR-LR",0.5526,0.4737,0.5,0.5263,0.5263,0.5526,0.5263,0.5526,0.5526,0.5263
"ECC-LR",0.5526,0.5263,0.6053,0.5263,0.5263,0.5526,0.5526,0.5526,0.5263,0.5526
"MBR-LR",0.4474,0.4474,0.4211,0.4211,0.3947,0.5,0.4474,0.5526,0.4211,0.4737
"NS-LR",0.5,0.5263,0.4737,0.4474,0.4211,0.5,0.4737,0.5526,0.4474,0.5
"PruDent-LR",0.4737,0.5263,0.5,0.5263,0.3947,0.4474,0.4737,0.5789,0.4474,0.5263
"RDBR-LR",0.5263,0.5,0.4474,0.5263,0.5,0.4211,0.4474,0.5263,0.4211,0.5
"BR-RF",0.5789,0.6053,0.6053,0.6053,0.6053,0.5526,0.6053,0.5263,0.5526,0.6053
"BR+-RF",0.6053,0.6053,0.6053,0.5789,0.6053,0.5526,0.6053,0.5526,0.5526,0.6316
"CC-RF",0.6316,0.6316,0.6053,0.5789,0.6053,0.5526,0.5789,0.5526,0.5526,0.6053
"DBR-RF",0.6053,0.6053,0.6053,0.5789,0.6053,0.5526,0.6053,0.5526,0.5526,0.6316
"EBR-RF",0.5789,0.5789,0.5789,0.5789,0.6053,0.5526,0.6053,0.5789,0.5789,0.6316
"ECC-RF",0.5789,0.5789,0.6316,0.5526,0.6053,0.5526,0.5789,0.5263,0.5526,0.6053
"MBR-RF",0.5526,0.5789,0.5526,0.5789,0.6053,0.5789,0.5526,0.5789,0.5789,0.6316
"NS-RF",0.5789,0.6316,0.6053,0.6053,0.6053,0.5789,0.5789,0.5526,0.5526,0.6316
"PruDent-RF",0.5789,0.6053,0.5789,0.6316,0.6053,0.5526,0.6316,0.5789,0.5526,0.6053
"RDBR-RF",0.6053,0.6053,0.6053,0.5789,0.6053,0.5526,0.6053,0.5526,0.5526,0.6316
"BR-SVM",0.5,0.4737,0.4737,0.4737,0.5,0.5,0.5263,0.5,0.4474,0.5
"BR+-SVM",0.5,0.4737,0.4474,0.4474,0.4474,0.5,0.5,0.5263,0.3947,0.5263
"CC-SVM",0.5,0.4737,0.4737,0.4474,0.4737,0.5263,0.5,0.5,0.4211,0.5263
"DBR-SVM",0.5,0.4737,0.4474,0.4474,0.4474,0.5,0.5,0.5263,0.3947,0.5263
"EBR-SVM",0.4474,0.5,0.4737,0.4474,0.3947,0.5,0.5,0.5,0.5,0.4737
"ECC-SVM",0.4474,0.4737,0.4474,0.4474,0.4211,0.5,0.4737,0.5,0.4211,0.4737
"MBR-SVM",0.4474,0.4737,0.4474,0.4737,0.3947,0.4474,0.4474,0.5263,0.4211,0.4474
"NS-SVM",0.5,0.4737,0.4737,0.4474,0.4474,0.5,0.5,0.5263,0.4737,0.5263
"PruDent-SVM",0.4737,0.5,0.4211,0.5263,0.5,0.4737,0.4737,0.5263,0.4211,0.5
"RDBR-SVM",0.4737,0.4737,0.4474,0.4474,0.4474,0.5,0.5,0.5263,0.3947,0.5263
"BR-SVMt",0.4737,0.5,0.4737,0.4737,0.5526,0.3947,0.5263,0.4737,0.4211,0.5263
"BR+-SVMt",0.4737,0.5263,0.4474,0.5,0.5,0.4474,0.4737,0.5526,0.4737,0.5526
"CC-SVMt",0.6053,0.4737,0.5,0.4737,0.4474,0.4211,0.4474,0.5,0.4474,0.5263
"DBR-SVMt",0.5263,0.5263,0.5526,0.4737,0.5,0.4474,0.4737,0.5,0.4211,0.5263
"EBR-SVMt",0.4474,0.4474,0.3947,0.5263,0.3684,0.4737,0.4211,0.4474,0.4737,0.4474
"ECC-SVMt",0.5,0.4737,0.4737,0.4737,0.4211,0.5263,0.4211,0.4737,0.4737,0.5263
"MBR-SVMt",0.4737,0.5,0.5,0.4211,0.3947,0.4211,0.4737,0.5,0.4211,0.4211
"NS-SVMt",0.4474,0.5,0.4474,0.5,0.5789,0.4211,0.5526,0.5526,0.3947,0.5526
"PruDent-SVMt",0.5,0.5526,0.4737,0.5,0.4737,0.4211,0.5263,0.5263,0.4474,0.5526
"RDBR-SVMt",0.4474,0.5526,0.5,0.5,0.4737,0.4211,0.5,0.5263,0.3947,0.5263
"BR-XGB",0.2105,0.3421,0.4211,0.3684,0.4211,0.3947,0.3421,0.3684,0.3684,0.4211
"BR+-XGB",0.2895,0.3684,0.4211,0.3947,0.3947,0.3158,0.3684,0.3421,0.3158,0.3684
"CC-XGB",0.2632,0.3421,0.4474,0.4211,0.4211,0.3421,0.3947,0.3947,0.3947,0.3684
"DBR-XGB",0.3158,0.3684,0.4474,0.3947,0.3947,0.3158,0.3684,0.3684,0.3158,0.3684
"EBR-XGB",0.2632,0.3684,0.3421,0.3421,0.4211,0.3684,0.3947,0.3421,0.2895,0.2895
"ECC-XGB",0.3421,0.4474,0.4211,0.3421,0.3158,0.3158,0.3421,0.4211,0.2895,0.3158
"MBR-XGB",0.2105,0.3421,0.4211,0.3684,0.4211,0.3947,0.3421,0.3684,0.3684,0.4211
"NS-XGB",0.2632,0.3421,0.4474,0.4211,0.4211,0.3421,0.3947,0.3947,0.3947,0.3684
"PruDent-XGB",0.2105,0.3421,0.4211,0.3684,0.4211,0.3947,0.3421,0.3684,0.3684,0.4211
"RDBR-XGB",0.2895,0.3684,0.4211,0.3947,0.3947,0.3684,0.3684,0.3421,0.3684,0.3684
